commodity, market, arrival, minprice, maxprice, modalprice, day, month, year
Chikoos(Sapota),Karad,0.9,1000,1600,1300,1,1,2014
Chikoos(Sapota),Mumbai,78.6,500,1400,950,1,1,2014
Chikoos(Sapota),Nagpur,25.4,1000,1800,1400,1,1,2014
Grapes,Mumbai,21.2,2000,4000,3000,1,1,2014
Grapes,Nagpur,1.9,4000,6500,5250,1,1,2014
Guava,Aurangabad,1.2,1200,1600,1400,1,1,2014
Guava,Kamthi,0.8,600,2400,1500,1,1,2014
Guava,Mumbai,22.9,700,2200,1450,1,1,2014
Jack Fruit,Nagpur,10,600,700,650,1,1,2014
Lime,Aurangabad,1.6,1200,1600,1400,1,1,2014
Lime,Kamthi,0.1,600,1400,1000,1,1,2014
Lime,Nagpur,5,50,60,55,1,1,2014
Lime,Shrirampur,0.4,1500,2000,1750,1,1,2014
Orange,Kamthi,4.4,800,1800,1300,1,1,2014
Orange,Mumbai,95,800,2000,1400,1,1,2014
Orange,Nagpur,30.9,1500,2600,2050,1,1,2014
Pine Apple,Mumbai,52,800,2000,1400,1,1,2014
Pine Apple,Nagpur,7,1000,2500,1750,1,1,2014
Pomegranate,Aurangabad,0.8,3000,6500,4750,1,1,2014
Pomegranate,Mumbai,21.2,3200,4200,3700,1,1,2014
Pomegranate,Nagpur,22.4,3000,6500,4750,1,1,2014
Pomegranate,Sangamner,4.5,6000,10500,8250,1,1,2014
Pomegranate,Shrirampur,0.6,3500,4000,3750,1,1,2014
Sweet Lime,Aurangabad,3.5,1200,3200,2200,1,1,2014
Sweet Lime,Karad,0.9,5000,7000,6000,1,1,2014
Sweet Lime,Mumbai,100,1000,2500,1750,1,1,2014
Sweet Lime,Nagpur,40,800,2600,1700,1,1,2014
Sweet Lime,Shrirampur,0.9,2500,3000,2750,1,1,2014
Water Melon,Mumbai,206,400,1000,700,1,1,2014
Water Melon,Shrirampur,0.6,500,700,600,1,1,2014
Castor Seed,Ahmednagar,0.1,3500,3500,3500,1,1,2014
Groundnut,Kolhapur(Laxmipuri),6,6800,7000,6900,1,1,2014
Groundnut,Mumbai,63,5000,7200,6100,1,1,2014
Mustard,Mumbai,2.5,3500,4500,3920,1,1,2014
Safflower,Ahmednagar,0.2,3000,3000,3000,1,1,2014
Sesamum(Sesame,Gingelly,Til),Shirpur,0.8,5000,13000,10200,1,1,2014
Soyabean,Ahmednagar,0.3,3575,3575,3575,1,1,2014
Soyabean,Akola,199.6,3200,3550,3375,1,1,2014
Soyabean,Arvi,25.1,3300,3600,3450,1,1,2014
Soyabean,Chandrapur,23,2600,3555,3350,1,1,2014
Soyabean,Darwha,1.5,2800,3500,3300,1,1,2014
Soyabean,Daryapur,90.4,3000,3538,3460,1,1,2014
Soyabean,Dhamngaon-Railway,350,2900,3700,3500,1,1,2014
Soyabean,Jalgaon(Jamod),5.7,3300,3500,3400,1,1,2014
Soyabean,Jawala-Bajar,6,3450,3600,3550,1,1,2014
Soyabean,Kalamb,20,3000,3650,3250,1,1,2014
Soyabean,Kalmeshwar,6.5,2580,3595,3050,1,1,2014
Soyabean,Karanja,450,3145,3620,3440,1,1,2014
Soyabean,Katol,55,2800,3601,3345,1,1,2014
Soyabean,Khamgaon,339.5,3300,3550,3425,1,1,2014
Soyabean,Kopargaon,7.4,3000,3580,3470,1,1,2014
Soyabean,Korpana,4,3350,3525,3450,1,1,2014
Soyabean,Lonar,180,3450,3560,3505,1,1,2014
Soyabean,Morshi,92.2,3011,3491,3253,1,1,2014
Soyabean,Nagpur,17.4,2580,3751,3165,1,1,2014
Soyabean,Ner Parasopant,40.8,2750,3500,3200,1,1,2014
Soyabean,Pandhakawada,16.8,2785,3520,3420,1,1,2014
Soyabean,Parbhani,40,3300,3560,3500,1,1,2014
Soyabean,Pulgaon,17.5,2971,3575,3280,1,1,2014
Soyabean,Rahata,0.7,3400,3600,3465,1,1,2014
Soyabean,Rahuri(Vambori),6,3561,3561,3561,1,1,2014
Soyabean,Rajura,21.2,2961,3477,3245,1,1,2014
Soyabean,Samudrapur,8.7,2580,3690,3135,1,1,2014
Soyabean,Sangamner,2.4,3300,3514,3407,1,1,2014
Soyabean,Sangli,4.5,3300,3700,3500,1,1,2014
Soyabean,Sengoan,50,3000,3570,3450,1,1,2014
Soyabean,Shahada,0.4,2671,3316,3023,1,1,2014
Soyabean,Shegaon,15.5,3400,3565,3490,1,1,2014
Soyabean,Shevgaon,0.2,3000,3000,3000,1,1,2014
Soyabean,Shirpur,0.6,3101,3500,3401,1,1,2014
Soyabean,Umarked(Danki),12,3100,3500,3400,1,1,2014
Soyabean,Umarkhed,21,3100,3500,3400,1,1,2014
Soyabean,Vani,31.1,2750,3625,3325,1,1,2014
Soyabean,Varora,121,2700,3625,3163,1,1,2014
Soyabean,Wardha,71,2850,3785,3500,1,1,2014
Coconut,Mumbai,393.6,825,1525,1152,1,1,2014
Gur(Jaggery),Karad,464.7,2600,3810,2900,1,1,2014
Gur(Jaggery),Mumbai,62,3100,3800,3380,1,1,2014
Gur(Jaggery),Pune,5.7,2450,2500,2475,1,1,2014
Gur(Jaggery),Sangli,261,2400,3295,2800,1,1,2014
Sugar,Mumbai,340,2846,3171,2950,1,1,2014
Arhar (Tur),Akola,18.8,4151,4425,4290,1,1,2014
Arhar (Tur),Aurangabad,34.5,4300,4528,4414,1,1,2014
Arhar (Tur),Karanja,27.5,3900,4460,4275,1,1,2014
Arhar (Tur),Kolhapur(Laxmipuri),8,5400,6700,6150,1,1,2014
Arhar (Tur),Mumbai,297.2,6600,9000,7800,1,1,2014
Arhar (Tur),Pathardi,13.5,4300,4410,4310,1,1,2014
Arhar (Tur),Rahata,0.7,4500,4600,4500,1,1,2014
Beans,Patan,0.9,3000,3500,3300,1,1,2014
Beans,Pune,11.4,1500,4000,2750,1,1,2014
Bengal Grams(Gram),Akola,23.9,2325,2675,2500,1,1,2014
Bengal Grams(Gram),Amalner,2,2500,2700,2600,1,1,2014
Bengal Grams(Gram),Anajngaon,12,2300,2500,2400,1,1,2014
Bengal Grams(Gram),Daryapur,10,1900,2605,2550,1,1,2014
Bengal Grams(Gram),Dhamngaon-Railway,20,2000,2500,2250,1,1,2014
Bengal Grams(Gram),Dondaicha,1,2400,3050,2500,1,1,2014
Bengal Grams(Gram),Jalgaon,8.3,1851,2725,2725,1,1,2014
Bengal Grams(Gram),,,3400,3500,3500,1,1,2014
Bengal Grams(Gram),Karanja,4.7,2250,2400,2375,1,1,2014
Bengal Grams(Gram),Katol,12.5,2400,2555,2490,1,1,2014
Bengal Grams(Gram),Khamgaon,10.5,2150,2475,2312,1,1,2014
Bengal Grams(Gram),Kolhapur(Laxmipuri),7,3600,3600,3600,1,1,2014
Bengal Grams(Gram),Kopargaon,0.2,2745,3000,2900,1,1,2014
Bengal Grams(Gram),Lasur Station,0.2,2160,2160,2160,1,1,2014
Bengal Grams(Gram),Lonar,0.9,1800,2500,2150,1,1,2014
Bengal Grams(Gram),Mangrulpeer,25,2000,2425,2250,1,1,2014
Bengal Grams(Gram),Morshi,6.7,2806,3000,2909,1,1,2014
Bengal Grams(Gram),Mumbai,83.6,4000,4600,4300,1,1,2014
Bengal Grams(Gram),Nagpur,3.5,2531,2672,2610,1,1,2014
Bengal Grams(Gram),Pune,1.7,3000,3500,3250,1,1,2014
Bengal Grams(Gram),Rahata,0.4,3155,3155,3155,1,1,2014
Bengal Grams(Gram),Rahuri(Vambori),0.2,2100,2100,2100,1,1,2014
Bengal Grams(Gram),Raver,0.1,2205,2205,2205,1,1,2014
Bengal Grams(Gram),Sangamner,1.2,1550,2427,1998,1,1,2014
Bengal Grams(Gram),Shahada,1.2,1919,2001,1962,1,1,2014
Bengal Grams(Gram),Shegaon,0.6,1800,2145,1975,1,1,2014
Bengal Grams(Gram),Shevgaon,0.4,2200,2200,2200,1,1,2014
Bengal Grams(Gram),Shirpur,0.4,2000,2725,2550,1,1,2014
Bengal Grams(Gram),Tumsar,0.3,2000,2200,2100,1,1,2014
Bengal Grams(Gram),Umarked(Danki),5,2500,3100,2900,1,1,2014
Bengal Grams(Gram),Wardha,0.6,2010,2300,2150,1,1,2014
Black Grams (Urd Beans),Kolhapur(Laxmipuri),7,5800,6400,6100,1,1,2014
Black Grams (Urd Beans),Mumbai,84,6500,8000,7250,1,1,2014
Black Grams (Urd Beans),Pune,0.4,5100,5600,5350,1,1,2014
Cowpea (Lobia)(Asparagus),Dhule,0.3,4500,4500,4500,1,1,2014
Cowpea (Lobia)(Asparagus),Kolhapur(Laxmipuri),8,5200,5200,5200,1,1,2014
Cowpea (Lobia)(Asparagus),Mumbai,17.1,4500,6500,5500,1,1,2014
Green Gram Dal,Kolhapur(Laxmipuri),6.5,7600,8000,7800,1,1,2014
Green Gram Dal,Mumbai,63.8,7300,9000,8150,1,1,2014
Green Grams (Moong),Ahmednagar,0.1,6000,6000,6000,1,1,2014
Green Grams (Moong),Akola,2.9,5600,6000,5800,1,1,2014
Green Grams (Moong),Amalner,0.3,5500,5500,5500,1,1,2014
Green Grams (Moong),Anajngaon,1.5,5800,6000,5900,1,1,2014
Green Grams (Moong),Dhule,0.5,5300,5340,5340,1,1,2014
Green Grams (Moong),Karanja,0.7,4800,5600,5300,1,1,2014
Green Grams (Moong),Khamgaon,2.5,5000,6210,5605,1,1,2014
Green Grams (Moong),Kolhapur(Laxmipuri),10,5800,7000,6400,1,1,2014
Green Grams (Moong),Lonar,0.3,5500,6000,5750,1,1,2014
Green Grams (Moong),Mangrulpeer,0.1,4500,6500,4500,1,1,2014
Green Grams (Moong),Pathardi,0.2,4900,4900,4900,1,1,2014
Green Grams (Moong),Pune,1.7,6500,6600,6550,1,1,2014
Green Grams (Moong),Sangamner,0.4,4500,4500,4500,1,1,2014
Green Grams (Moong),Sangli,27,5500,7500,6500,1,1,2014
Green Grams (Moong),Shegaon,1.1,5450,5895,5700,1,1,2014
Green Grams (Moong),Shirpur,0.4,4601,5500,4900,1,1,2014
Green Peas,Kolhapur(Laxmipuri),6.5,3200,5200,4200,1,1,2014
Green Peas,Mumbai,48,200,600,400,1,1,2014
Green Peas,Pune,10,4200,4600,4400,1,1,2014
Horses Gram,Ahmednagar,0.6,3100,6000,4550,1,1,2014
Lentil(Masur),Kolhapur(Laxmipuri),7,6000,6000,6000,1,1,2014
Lentil(Masur),Mumbai,12.9,5000,5200,5100,1,1,2014
Lentil(Masur),Pune,4.5,4800,5500,5150,1,1,2014
Masur Dal,Kolhapur(Laxmipuri),7,5200,5200,5200,1,1,2014
Masur Dal,Mumbai,46.1,5100,5400,5250,1,1,2014
Mataki,Amalner,0.3,5401,5500,5451,1,1,2014
Mataki,Dhule,1,5000,5433,5350,1,1,2014
Mataki,Dondaicha,6.5,4700,5873,5651,1,1,2014
Mataki,Dondaicha(Sindhkheda),1.1,4501,5420,5300,1,1,2014
Mataki,Sangamner,1.2,4700,5011,4855,1,1,2014
Mataki,Sangli,5,5100,7000,5950,1,1,2014
Mataki,Shevgaon,0.4,5000,5500,5500,1,1,2014
Mataki,Shirpur,1,4501,5901,5725,1,1,2014
Ajwan,Shegaon,0.3,6900,7750,7325,1,1,2014
Cardamoms,Mumbai,2.7,60000,80000,68600,1,1,2014
Chili Red,Ahmednagar,6.3,4500,10576,7538,1,1,2014
Chili Red,Amarawati,0.7,4000,7000,5500,1,1,2014
Chili Red,Dhule,0.5,1339,1561,1561,1,1,2014
Chili Red,Dondaicha,11.1,1300,2451,1751,1,1,2014
Chili Red,Kolhapur(Laxmipuri),2.5,16500,47500,32000,1,1,2014
Chili Red,Mumbai,97.4,6000,7000,6370,1,1,2014
Chili Red,Nagpur,35.7,5000,7500,6250,1,1,2014
Chili Red,Sangli,34.6,7000,9000,8000,1,1,2014
Chili Red,Shirpur,0.5,1575,1774,1774,1,1,2014
Corriander seed,Ahmednagar,0.1,6301,6500,6400,1,1,2014
Corriander seed,Mumbai,6.4,5500,6500,5880,1,1,2014
Cummin Seed(Jeera),Mumbai,9.7,14000,16000,14700,1,1,2014
Garlic,Amarawati,0.7,3100,5100,4100,1,1,2014
Garlic,Kamthi,0.1,6000,10000,8000,1,1,2014
Garlic,Karad,3,5000,6000,5500,1,1,2014
Garlic,Pune,81.4,3000,6500,4750,1,1,2014
Garlic,Shrirampur,1.1,3000,3500,3250,1,1,2014
Ginger,Amarawati,0.4,3000,6500,4750,1,1,2014
Ginger,Jalgaon,4,4500,6000,5500,1,1,2014
Ginger,Kamthi,0.3,1000,7000,4000,1,1,2014
Ginger,Karad,0.6,5000,8000,6500,1,1,2014
Ginger,Nagpur,27.4,5500,6000,5750,1,1,2014
Ginger,Patan,0.6,4000,5000,4500,1,1,2014
Ginger,Pune,17.1,5000,5800,5450,1,1,2014
Ginger,Shrirampur,0.4,4500,5000,4750,1,1,2014
Turmeric,Mumbai,9.7,8000,9000,8330,1,1,2014
Turmeric,Pune,1.4,9000,11000,10000,1,1,2014
Beetroot,Amarawati,0.6,1400,1600,1500,1,1,2014
Beetroot,Nagpur,5,500,700,600,1,1,2014
Beetroot,Pune,3.7,700,800,750,1,1,2014
Bhindi(Ladies Finger),Amarawati,0.7,2000,2200,2100,1,1,2014
Bhindi(Ladies Finger),Aurangabad,1.2,1300,1500,1400,1,1,2014
Bhindi(Ladies Finger),Jalgaon,2,1500,2800,2100,1,1,2014
Bhindi(Ladies Finger),Kalmeshwar,0.1,1850,2200,2045,1,1,2014
Bhindi(Ladies Finger),Kamthi,0.2,1000,1400,1200,1,1,2014
Bhindi(Ladies Finger),Karad,9,1000,1600,1300,1,1,2014
Bhindi(Ladies Finger),Mangal Wedha,0.1,2800,2800,2800,1,1,2014
Bhindi(Ladies Finger),Mumbai,100,800,3400,2100,1,1,2014
Bhindi(Ladies Finger),Patan,0.6,3500,4000,3700,1,1,2014
Bhindi(Ladies Finger),Pune(Khadiki),0.1,2500,2500,2500,1,1,2014
Bhindi(Ladies Finger),Satara,0.1,1000,2000,1500,1,1,2014
Bhindi(Ladies Finger),Shahapur,1,2000,2400,2250,1,1,2014
Bhindi(Ladies Finger),Shrirampur,0.5,2500,3000,2750,1,1,2014
Bhindi(Ladies Finger),Vadgaonpeth,1.5,1500,2500,2000,1,1,2014
Bitter gourd,Amarawati,0.8,500,600,550,1,1,2014
Bitter gourd,Aurangabad,1.3,1500,2500,2000,1,1,2014
Bitter gourd,Jalgaon,0.4,2000,2000,2000,1,1,2014
Bitter gourd,Karad,0.6,1000,1300,1150,1,1,2014
Bitter gourd,Mangal Wedha,0.1,1800,1800,1800,1,1,2014
Bitter gourd,Mumbai,24,2000,2400,2200,1,1,2014
Bitter gourd,Patan,0.6,2000,2200,2100,1,1,2014
Bitter gourd,Pune,1.3,1500,2500,2000,1,1,2014
Bitter gourd,Pune(Khadiki),0.1,1400,1400,1400,1,1,2014
Bitter gourd,Shahapur,0.4,1900,2400,2180,1,1,2014
Bitter gourd,Shrirampur,0.6,2000,2200,2100,1,1,2014
Bottle gourd,Aurangabad,1.2,300,800,550,1,1,2014
Bottle gourd,Kalmeshwar,0.1,680,800,740,1,1,2014
Bottle gourd,Kamthi,0.1,600,1000,800,1,1,2014
Bottle gourd,Karad,1.2,600,800,700,1,1,2014
Bottle gourd,Mumbai,24,500,700,600,1,1,2014
Bottle gourd,Nagpur,10,200,300,250,1,1,2014
Bottle gourd,Patan,0.6,1000,1300,1100,1,1,2014
Bottle gourd,Pune,9.6,400,800,600,1,1,2014
Bottle gourd,Satara,0.2,1000,1200,1100,1,1,2014
Bottle gourd,Shrirampur,0.4,500,700,600,1,1,2014
Brinjal,Amarawati,1.5,600,700,650,1,1,2014
Brinjal,Aurangabad,9.6,400,600,500,1,1,2014
Brinjal,Jalgaon,4,700,1200,900,1,1,2014
Brinjal,Kalmeshwar,0.2,650,800,740,1,1,2014
Brinjal,Kamthi,2.7,400,800,600,1,1,2014
Brinjal,Karad,1.5,200,400,300,1,1,2014
Brinjal,Nagpur,30,200,400,300,1,1,2014
Brinjal,Patan,0.9,400,500,450,1,1,2014
Brinjal,Pune,180.7,300,800,550,1,1,2014
Brinjal,Pune(Khadiki),1.6,300,1600,950,1,1,2014
Brinjal,Satara,2.7,200,400,300,1,1,2014
Brinjal,Shrirampur,2,1000,1300,1200,1,1,2014
Brinjal,Vadgaonpeth,2.6,500,1500,1000,1,1,2014
Brinjal,Vai,3.1,400,500,450,1,1,2014
Cabbage,Amarawati,3.5,300,350,325,1,1,2014
Cabbage,Aurangabad,7.8,400,500,450,1,1,2014
Cabbage,Kamthi,0.7,800,1000,900,1,1,2014
Cabbage,Karad,3,300,400,350,1,1,2014
Cabbage,Mumbai,193,400,600,500,1,1,2014
Cabbage,Nagpur,40,200,300,250,1,1,2014
Cabbage,Patan,1.5,600,700,650,1,1,2014
Cabbage,Pune,41.7,300,400,350,1,1,2014
Cabbage,Pune(Khadiki),5.6,300,600,450,1,1,2014
Cabbage,Satara,1.6,300,500,400,1,1,2014
Cabbage,Shrirampur,0.8,1000,1200,1100,1,1,2014
Cabbage,Vai,1.6,300,500,400,1,1,2014
Carrot,Amarawati,2,800,1000,900,1,1,2014
Carrot,Aurangabad,17.6,600,800,700,1,1,2014
Carrot,Jalgaon,2.5,1100,1100,1100,1,1,2014
Carrot,Kamthi,0.5,800,1600,1200,1,1,2014
Carrot,Karad,2.1,1000,1300,1150,1,1,2014
Carrot,Mumbai,175,800,1100,950,1,1,2014
Carrot,Nagpur,30,700,900,800,1,1,2014
Carrot,Pune,152.2,600,1600,850,1,1,2014
Carrot,Pune(Khadiki),0.1,800,800,800,1,1,2014
Carrot,Satara,0.6,500,1200,850,1,1,2014
Cauliflower,Amarawati,1.5,800,1000,900,1,1,2014
Cauliflower,Aurangabad,5,1000,2000,1500,1,1,2014
Cauliflower,Jalgaon,4.5,400,1100,700,1,1,2014
Cauliflower,Kalmeshwar,0.6,365,500,445,1,1,2014
Cauliflower,Kamthi,5,800,1200,1000,1,1,2014
Cauliflower,Karad,4.5,200,500,350,1,1,2014
Cauliflower,Mumbai,216,300,400,350,1,1,2014
Cauliflower,Nagpur,20,300,400,350,1,1,2014
Cauliflower,Patan,0.9,500,700,600,1,1,2014
Cauliflower,Pune,90.5,200,500,350,1,1,2014
Cauliflower,Pune(Khadiki),8.1,300,600,450,1,1,2014
Cauliflower,Satara,1.7,500,800,600,1,1,2014
Cauliflower,Shrirampur,0.9,1200,1500,1300,1,1,2014
Cauliflower,Vadgaonpeth,2.9,500,1500,1000,1,1,2014
Cauliflower,Vai,2.6,600,700,650,1,1,2014
Chilly Capsicum,Amarawati,0.7,1400,1600,1500,1,1,2014
Chilly Capsicum,Aurangabad,1.9,1000,1300,1150,1,1,2014
Chilly Capsicum,Kamthi,0.4,800,2600,1700,1,1,2014
Chilly Capsicum,Karad,1.5,600,1000,800,1,1,2014
Chilly Capsicum,Mumbai,92,1200,1600,1400,1,1,2014
Chilly Capsicum,Nagpur,10,800,1000,900,1,1,2014
Chilly Capsicum,Pune,33.2,1200,1400,1300,1,1,2014
Chilly Capsicum,Satara,0.5,1500,1800,1600,1,1,2014
Chilly Capsicum,Shrirampur,0.6,1500,2000,1750,1,1,2014
Coriander,Amarawati,1,500,600,550,1,1,2014
Coriander,Jalgaon,1.2,900,1200,1000,1,1,2014
Coriander,Kalmeshwar,0.1,1380,1500,1460,1,1,2014
Coriander,Kamthi,1.2,600,1800,1200,1,1,2014
Coriander,Karad,300,200,400,300,1,1,2014
Coriander,Khed,3000,101,551,301,1,1,2014
Coriander,Maanachar,5094,201,680,440,1,1,2014
Coriander,Nagpur,20,600,800,700,1,1,2014
Cucumbar,Amarawati,1,1400,1600,1500,1,1,2014
Cucumbar,Aurangabad,1.4,1500,2000,1750,1,1,2014
Cucumbar,Jalgaon,1.3,800,1400,1100,1,1,2014
Cucumbar,Kamthi,0.1,800,2000,1400,1,1,2014
Cucumbar,Karad,0.9,500,800,650,1,1,2014
Cucumbar,Mangal Wedha,0.3,500,1700,1000,1,1,2014
Cucumbar,Mumbai,106,1400,2400,1900,1,1,2014
Cucumbar,Nagpur,10,700,800,750,1,1,2014
Cucumbar,Patan,0.6,800,1000,900,1,1,2014
Cucumbar,Pune,36.9,600,1600,1100,1,1,2014
Cucumbar,Pune(Khadiki),0.4,1000,1000,1000,1,1,2014
Cucumbar,Satara,0.2,800,1500,1250,1,1,2014
Cucumbar,Shahapur,0.6,1400,1700,1550,1,1,2014
Cucumbar,Shrirampur,0.9,1200,1500,1400,1,1,2014
Cucumbar,Vai,0.3,1500,2000,1750,1,1,2014
Drumstick,Mumbai,20,8000,10000,9000,1,1,2014
Drumstick,Pune,1.1,6000,8000,7000,1,1,2014
Drumstick,Shahapur,0.2,6200,6500,6400,1,1,2014
Elephant Yam (Suran),Mumbai,50,1000,1200,1100,1,1,2014
Green Chilly,Amarawati,1,1600,1700,1650,1,1,2014
Green Chilly,Aurangabad,2.1,1500,2000,1750,1,1,2014
Green Chilly,Jalgaon,4.5,800,2500,1300,1,1,2014
Green Chilly,Kalmeshwar,0.1,1655,1800,1735,1,1,2014
